email_id,from_name,from_email,subject,body,timestamp
12,SYLVIA ORTIZ,SYLVIA.ORTIZ@gmail.com,Regarding recent late fee charge for ALADDIN CALENDAR,"Dear MediaVault Customer Service,

I am writing to inquire about a late fee I seem to have been charged for my rental of ""ALADDIN CALENDAR"". My records indicate I rented this film on August 1st, 2005, and returned it on August 4th, 2005. Given a standard 3-day rental period, this should mean it was returned on time. Could you please review my account and clarify why this charge was applied? I believe there may have been an error.

Thank you for your time and assistance.",2025-12-17 16:40:42
13,RONNIE RICKETTS,RONNIE.RICKETTS@yahoo.com,Dispute on HOLLOW JEOPARDY Charge,"To whom it may concern,

I am disputing the charge of $4.99 for ""HOLLOW JEOPARDY."" My records show that I rented this film on May 25, 2005, and I am certain I returned it by May 29th, not May 31st as your system might indicate. Therefore, this charge, particularly if it includes any late fees or an extended rental period, is incorrect.

I expect this to be investigated and my account credited accordingly. Please cross-reference your return logs carefully. I make a point of returning films on time, and this discrepancy is unacceptable.

Ronnie Ricketts",2025-12-30 13:44:46
14,KARL SEAL,KARL.SEAL@aol.com,Store 2 wait times,Waited over 20 minutes to rent a film at your Store 2 location last night. Only one person working. This is ridiculous.,2026-02-12 12:43:53
15,JENNIFER DAVIS,JENNIFER.DAVIS@outlook.com,Recent Transaction History,Could you please send me a copy of my recent transaction history for the last three months? I need it for my records. Thanks.,2025-12-28 03:56:47
16,DENNIS GILMAN,DENNIS.GILMAN@icloud.com,Dispute: PAST SUICIDES Rental,"To Whom It May Concern,

I am writing to dispute a charge of $4.99 for the film 'PAST SUICIDES' on or around August 2nd. I rented this film but I'm quite certain I returned it on August 4th, not the 6th as your system seems to indicate. I shouldn't be charged extra if I returned it promptly. Please investigate this matter and adjust my billing accordingly.

Sincerely,
Dennis Gilman",2026-02-11 12:19:50
17,AARON SELBY,AARON.SELBY@protonmail.com,Review of Recent Charges and Account Status,"Dear MediaVault Support,

I am writing to request a comprehensive review of my recent billing activity and my overall account status. I recently noticed a charge of $4.99 for the film ""SWEDEN SHINING,"" which I rented around June 18, 2005. While this charge seems accurate, I would appreciate confirmation that there are no other unexpected or outstanding charges on my account.

Could you please provide a detailed breakdown of all transactions from the past three months? I want to ensure that all charges align with my rental history and that no erroneous fees have been applied. I am particularly interested in confirming that all films have been marked as returned correctly and that no late fees have been inadvertently assessed.

Thank you for your assistance in clarifying my account details.

Sincerely,
Aaron Selby",2026-01-09 02:02:27
18,JOHNNY TURPIN,JOHNNY.TURPIN@mail.com,Need help please - financial hardship,"hey im writing because im having a really hard time right now. lost my job last month and things are just piling up. i know it's only a few dollars, but i rented 'WILLOW TRACY' last week for $2.99 and honestly i need every penny i can get. would it be possible to get a refund for that? or even a credit for future use? i know its not a lot but it would really help. i dont know what else to do. its really bad out here. please anything you can do would be a godsend.",2026-02-08 20:04:12
19,MILDRED BAILEY,MILDRED.BAILEY@live.com,"BOOGIE AMELIE $9.98 charge, I dun get it","I got a charge for BOOGIE AMELIE for like 9 dollars and 98 cents. But I don't remember renting that film from MediaVault. Or if I did I returned it. The email said I rented it on February 14 2006. So I don't know why you are charging me for it. This is not rite. Can someone check my accont. I think there's been a mistake.

Mildred Bailey",2025-12-10 08:08:58
20,SAMANTHA DUNCAN,SAMANTHA.DUNCAN@example.com,Appreciation for your Staff at Store 2,"I wanted to take a moment to express my sincere appreciation for the wonderful staff at your Store 2 location. I was having trouble finding a specific film the other day, and a young woman working there went above and beyond to help me locate it. She was incredibly patient and cheerful, even though the store was quite busy. It's these kinds of positive interactions that make me a loyal MediaVault customer. Please extend my thanks to your team there!",2026-02-05 07:53:23
21,DANNY ISOM,DANNY.ISOM@hotmail.com,movie selction at store 1,hey im just wonderin why your store never has any good movies i always go to store 1 an its the same old stuff or the new ones are always gone like all the time can you guys get more movies or something i like action and adventure and it feels like you only have like the same 5 films everytime i go there it's real anoying,2026-01-14 14:07:12
22,DAN PAINE,DAN.PAINE@gmail.com,Complaint regarding Mike Hillyer at Store 1,"I visited your Store 1 location yesterday, around 4:30 PM. I was trying to rent 'IDAHO LOVE' but was having trouble with the self-serve kiosk. I asked for help from a staff member, Mike Hillyer, who seemed completely uninterested in assisting me. He was rude and dismissive, barely looking up from his phone. When I pressed for help, he made a sarcastic comment about 'people who can't read instructions' and just walked away. This is NOT how customers should be treated. I've been a MediaVault customer for years and have never encountered such disrespect. Mike Hillyer's attitude was unprofessional and completely unacceptable. I demand that this issue be addressed and that I receive an apology for his behavior.",2025-12-28 18:50:33
23,DANNY ISOM,DANNY.ISOM@yahoo.com,DISPUTE LATE FEE,I just got a bill for a $5.99 late fee. I don't owe any late fees. I RETURN ALL MY MOVIES ON TIME. This is incorrect and I expect it to be removed immediately. Stop trying to hit me with bogus charges. What movie is this even for?! Fix it now!,2026-01-16 10:18:29
24,JOSEPHINE GOMEZ,JOSEPHINE.GOMEZ@aol.com,YOUR CHECKOUT LINES ARE RIDICULOUS!!!!,"I can't believe how long I had to wait at your Store 1 location just to return 'GRACELAND DYNAMITE'. It was AUGUST 26TH and there was ONLY ONE PERSON AT THE COUNTER and a HUGE line, probably 10-15 people deep. This isn't the first time either, it happens practically EVERY time I come in. Do you even CARE about your customers time?? I was there for twenty minutes just to drop off a movie and I almost missed my bus and then when it was finally my turn the employee looked so stressed out they barely even acknowledged me. IT'S UNACCEPTABLE. You need more staff or faster service or SOMETHING. This is just plain bad business.",2026-01-25 08:49:10
25,MARION SNYDER,MARION.SNYDER@outlook.com,"Uh, some charges on my account?","Hey MediaVault people,

So I was looking at my bank statement, and there are a couple of charges from you guys that I don't really recognize, or at least they seem a bit high. One was like, almost four dollars, and I remember renting ""CONGENIALITY QUEST"" around July 29th, 2005, but I thought it was a cheaper rental. And then there's another one that's not listed on my rentals, just like some random amount. Could you like, look into it for me? I get confused with all these numbers sometimes, but I'm pretty sure somethings off. I just don't want to be paying for stuff I didn't get or for more than it should be. Let me know what you find, please.

Thanks,
Marion Snyder",2025-12-17 11:43:27
26,DARLENE ROSE,DARLENE.ROSE@icloud.com,Charge for FORWARD TEMPLE,"Why was I charged $4.99 for ""FORWARD TEMPLE""? My rental rate for that movie on July 29, 2005, was $2.99. Please correct this error.",2025-12-17 17:15:48
27,ESTHER CRAWFORD,ESTHER.CRAWFORD@protonmail.com,Regarding an incorrect late fee for STRAIGHT HOURS,"Dear MediaVault Customer Service,

I am writing to dispute a late fee I received for the film ""STRAIGHT HOURS"", which I rented from your Store 2 location on August 1st, 2005. My account shows a charge for an overdue rental, but I distinctly recall returning the disc on August 8th, well within the standard rental period.

I understand that mistakes can happen, but I am certain of the return date. Could you please review my rental history for this specific transaction (rental ID if available) and adjust the charge accordingly? I've been a loyal customer for quite some time and appreciate your prompt attention to this matter.

Sincerely,
Esther Crawford",2026-01-23 11:22:44
28,CINDY FISHER,CINDY.FISHER@mail.com,Account Status Inquiry - Cindy Fisher,"Hi there,

I was wondering if you could tell me about my current account status with MediaVault. I've been renting films quite a bit lately, and I'm curious if I've reached any special membership level or if there are any perks associated with my activity. I often see ads for 'Gold' or 'Platinum' members, and I'm not sure if I qualify or what that even means for me. Could you please provide some clarity on my account status and if there are any benefits I should be aware of?

Thanks,
Cindy Fisher",2026-01-25 12:18:16
29,CRYSTAL FORD,CRYSTAL.FORD@live.com,COMPLAINT ABOUT STAFF MEMBER MIKE HILLYER - Store 1,"I visited your Store 1 earlier today, and I was treated with an appalling lack of respect by an employee named Mike Hillyer. I was trying to resolve an issue with a rental that didn't play correctly, and he was dismissive, rude, and frankly, completely unhelpful. He acted like I was wasting his time and even chuckled when I explained my problem. I have never experienced such unprofessional behavior from a service representative. This is completely unacceptable and reflects terribly on your company. I expect a prompt and serious investigation into Mike Hillyer's conduct and an apology for the way I was treated.",2026-01-04 01:24:12
30,SALLY PIERCE,SALLY.PIERCE@example.com,LATE FEE CHARGE IS UNACCEPTABLE!,"WHAT IS WRONG WITH YOU PEOPLE?! I returned 'INSIDER ARIZONA' on time! I put it in the drop box last Friday, I'm absolutely sure of it. Now I get a bill saying it's 9 DAYS OVERDUE?! THIS IS ABSURD! I AM NOT PAYING A PENNY MORE THAN THE RENTAL FEE. You need to fix this IMMEDIATELY OR I'M CANCELING MY MEMBERSHIP AND TELLING EVERYONE I KNOW HOW AWFUL YOUR SERVICE IS. Get this sorted out.",2026-02-20 05:46:17
31,BRENT HARKINS,BRENT.HARKINS@hotmail.com,Long wait at Store 1,"Just wanted to express my disappointment with the wait times at your Store 1 location. I was there on Tuesday afternoon, and there was only one person working the counter, leading to a line out the door. It took me almost 20 minutes just to return a film. This is not the first time this has happened.",2026-01-25 19:40:46
32,MARIO CHEATHAM,MARIO.CHEATHAM@gmail.com,Excellent Service at Store 1,"Dear MediaVault,

I wanted to express my sincere appreciation for the wonderful experience I had at your Store 1 location yesterday. I was looking for 'HANDICAP BOONDOCK' and couldn't find it right away, but a very helpful staff member (I didn't catch his name, unfortunately) went out of his way to assist me. He was very polite and efficient, even checking the back for me. It's always a pleasure to deal with such dedicated individuals. Thanks for providing such great customer service!",2026-02-08 02:48:57
33,DARLENE ROSE,DARLENE.ROSE@yahoo.com,Wrong movie in the case,I rented 'FORWARD TEMPLE' from Store 2. Got home. Opened it up. NOT 'FORWARD TEMPLE'. Some other movie I've never heard of. What a waste of my time. Not happy.,2025-12-22 01:09:03
34,VICKIE BREWER,VICKIE.BREWER@aol.com,URGENT: Closing Account for Deceased Family Member (Arthur Brewer),"Dear MediaVault Customer Service,

I am writing to you under very difficult circumstances. My father, Arthur Brewer, recently passed away unexpectedly. He had an active MediaVault account, associated with his email: [assuming an email like arthur.brewer@example.com - but not using a real one as per instructions].

As the executor of his estate, I kindly request that you immediately close his account and permanently delete all associated personal and payment information from your records. This is a very sensitive time for our family, and having his accounts remain open causes additional distress. Please let me know what documentation you require from me to facilitate this process, such as a death certificate or legal probate documents. I would appreciate your utmost sensitivity and prompt handling of this request.

Thank you for your understanding during this sorrowful time.",2025-12-19 12:42:58
35,MORRIS MCCARTER,MORRIS.MCCARTER@outlook.com,Question about ISHTAR ROCKETEER charge,"What's up with the $9.99 charge for ISHTAR ROCKETEER? My statement shows this from around July 31st. I thought it was $4.99.

Morris McCarter",2026-01-27 00:21:59
36,MAUREEN LITTLE,MAUREEN.LITTLE@icloud.com,LATE FEE FOR NETWORK PEAK IS WRONG!!!!,"WHAT IS THIS LATE FEE FOR 'NETWORK PEAK'?! MY ACCOUNT SAYS I WAS LATE BY 2 DAYS, BUT I SWEAR I RETURNED IT ON TIME. I AM NOT PAYING $4.99 FOR A LATE FEE I DON'T OWE. THIS IS UNACCEPTABLE. FIX THIS IMMEDIATELY OR I AM CANCELLING MY ACCOUNT. I AM SO ANGRY RIGHT NOW, THIS IS RIDICULOUS!!!!",2026-01-13 13:54:36
37,HERMAN DEVORE,HERMAN.DEVORE@protonmail.com,double charged?,i think you charged me twice for a movie. dont know witch one. can you check my account? thanks.,2026-01-17 04:17:19
38,MILDRED BAILEY,MILDRED.BAILEY@mail.com,WHAT IS THIS CHARGE FOR BOOGIE AMELIE?!,"I JUST SAW A CHARGE ON MY ACCOUNT FOR ""BOOGIE AMELIE"" AND THIS IS ABSOLUTELY OUTRAGEOUS! WHAT IS THIS $9.98 FOR?! I DONT KNOW WHY IM BEING CHARGED THIS MUCH FOR A MOVIE! IT'S YOUR FAULT IF YOUR SYSTEM IS BROKEN OR YOUR STAFF DOESNT CHECK IT IN RIGHT. I EXPECT THIS TO BE RESOLVED IMMEDIATELY. I AM NOT PAYING THIS!!!! THIS IS RIDICULOUS AND UNFAIR AND I AM SO ANGRY RIGHT NOW I CANT BELIEVE THIS. FIX IT!!!!!!",2026-01-13 10:16:20
39,VINCENT RALSTON,VINCENT.RALSTON@live.com,Email Update Request,"Hi,

Need to change my email on file. Current is VINCENT.RALSTON@sakilacustomer.org. New is vincentralston@mynewemail.com.

Thanks,
Vincent",2025-12-30 21:07:14
40,ANTONIO MEEK,ANTONIO.MEEK@example.com,Question about my past rentals,"Hey folks,

Hope you're having a good week. I was just trying to remember what that awesome sci-fi movie was that I rented from you guys about six months ago, and I thought maybe you could help. Could you send me a list of my rentals from, say, the last year or so? Might jog my memory.

Cheers,
Antonio Meek",2025-12-14 04:30:00
41,KRISTIN JOHNSTON,KRISTIN.JOHNSTON@hotmail.com,Request to Close Account - Kristin Johnston,"Dear MediaVault Customer Service,

I am writing to formally request the closure of my MediaVault account. I've been a loyal customer for quite some time, and I've truly enjoyed your service, especially during the colder months when a good movie marathon was exactly what I needed. However, my circumstances have changed, and I find myself with less time for film rentals these days. I'm also trying to cut down on subscriptions where I can.

Please confirm once my account has been fully closed and that there are no outstanding rentals or charges. I appreciate your prompt attention to this matter.

Sincerely,
Kristin Johnston",2026-02-16 02:33:04
42,JORGE OLIVARES,JORGE.OLIVARES@gmail.com,Statement Discrepancy - ANTHEM LUKE,"To Whom It May Concern,

I am reviewing my recent statement and have a question regarding a charge. I rented the film ""ANTHEM LUKE"" and was charged $8.99. However, I distinctly recall the rental rate for this particular film being $4.99. The rental was around July 30, 2005. My overall account balance also appears higher than expected.

Could you please provide a detailed breakdown of this charge and clarify why the amount billed is $8.99 when the listed rental rate was lower? I would appreciate a prompt investigation into this matter.

Sincerely,
Jorge Olivares",2025-12-06 11:25:14
43,HELEN HARRIS,HELEN.HARRIS@yahoo.com,CLOSE MY ACCOUNT NOW!,I AM SICK OF YOUR LATE FEES AND YOUR TERRIBLE CUSTOMER SERVICE. I WANT MY ACCOUNT CLOSED IMMEDIATELY. NO MORE MEDIAVAULT FOR ME. THIS IS AN UNACCEPTABLE SITUATION AND I WANT IT HANDLED TODAY. DO NOT CHARGE ME ANYTHING ELSE. JUST CLOSE IT.,2026-01-21 02:55:15
44,ANNIE RUSSELL,ANNIE.RUSSELL@aol.com,Family Movie Night! Recommendations please!,"Dear MediaVault Team,

My family is planning a movie night this weekend and we're really struggling to pick something that everyone will enjoy. Do you have any recommendations for family-friendly films currently available? We're open to anything really, perhaps something fun from the 'Family' or 'Children' categories. We have younger kids so nothing too scary please! We've already seen 'STRANGER STRANGERS' a few times.

Thank you for your help!

Sincerely,
Annie Russell",2026-01-26 04:52:04
45,TERRY CARLSON,TERRY.CARLSON@outlook.com,Duplicate charge for Bikini Borrowers,"I'm seeing two charges of $4.99 for 'BIKINI BORROWERS' from June 18th. I only rented it once. Please remove the duplicate charge.

Terry Carlson",2025-11-30 03:21:56
46,JILL HAWKINS,JILL.HAWKINS@icloud.com,My visit to Store 1 recently,"Dear MediaVault,

I just wanted to reach out regarding a recent visit I had to your Store 1 location. I came in to return 'WESTWARD SEABISCUIT' and maybe pick up something new. While the movie itself was fine, I felt the atmosphere in the store was a bit... cold, for lack of a better word. The person at the counter seemed very distracted, and when I asked a question about new releases, I felt like I was inconveniencing them. I know everyone has bad days, but it made my experience a little less pleasant than usual. I really do like MediaVault, so I hope this feedback is taken constructively.

Best regards,
Jill Hawkins",2025-12-16 03:20:13
47,JOHNNY TURPIN,JOHNNY.TURPIN@protonmail.com,Billing question,"What's my current balance? Also, confirming a $2.99 charge for WILLOW TRACY from Aug 23.",2026-02-23 19:13:53
48,NICOLE PETERSON,NICOLE.PETERSON@mail.com,Possible Duplicate Charge for Hyde Doctor,"Hi,

I think I've been charged twice for the movie ""HYDE DOCTOR"". I rented it around August 2nd, 2005, and returned it a couple days later. I see one charge for $2.99, which is fine, but there's another charge for $2.99 on August 3rd, or maybe 5th? It looks like the same movie. Can you check if it's a duplicate and remove one of them?

Thanks,
Nicole Peterson",2026-01-17 09:56:45
49,CHRISTY VARGAS,CHRISTY.VARGAS@live.com,Email Address Change Request,"To Whom It May Concern,

I wish to update the email address associated with my MediaVault account. My current email is CHRISTY.VARGAS@sakilacustomer.org. Please change it to christy.vargas.new@example.com. Kindly send a confirmation to the new email once the change is processed.

Regards,
Christy Vargas",2025-11-28 04:28:35
50,JANE BENNETT,JANE.BENNETT@example.com,DISPUTE: Late fee for SIERRA DIVIDE,"I am writing to dispute the late fee I've been assessed for 'SIERRA DIVIDE'. Your system shows I returned it late, but I DISTINCTLY remember returning it on time, possibly a day earlier than stated on my last bill. I had it back to the drop box by the evening of the 5th day, absolutely not 8 days out. This is incorrect and unfair. I demand that this charge be removed from my account. I am a long-time customer and this kind of error is unacceptable. Please correct this mistake right away.",2025-12-05 06:52:42
51,CHARLENE ALVAREZ,CHARLENE.ALVAREZ@hotmail.com,Billing Question - Recent Film Rentals,"Hi MediaVault,

I'm reviewing my recent bank statement and have a question about some charges. I see a $4.99 charge for 'CALIFORNIA BIRDS' from around August 20, 2005, and also a $2.99 charge for 'HOMICIDE PEACH' from July 31, 2005. These seem like individual charges, but I thought sometimes there were package deals or specific rates. Can you confirm if these amounts are correct and if there's any reason they wouldn't align with standard rental rates or if there were any additional fees applied? Just want to make sure I understand everything correctly.

Thanks,
Charlene Alvarez",2025-12-06 21:03:05
52,TIM CARY,TIM.CARY@gmail.com,URGENT: Legal Action Regarding Account Discrepancies,"To Whom It May Concern,

I am writing to express my extreme dissatisfaction with the repeated billing errors and unauthorized charges that have appeared on my MediaVault account over the past three months. Despite numerous attempts to resolve this through your automated customer service channels, the issues persist, and I am still being charged for films I did not rent. This is simply unacceptable for a customer who has spent over $6,800 with your company.

My patience has run out. If these discrepancies are not fully investigated, corrected, and a comprehensive refund issued for all erroneous charges within 48 hours of this email, I will be immediately consulting my legal counsel to pursue appropriate action. I have kept meticulous records of all transactions and communications. I expect a human representative to contact me directly to discuss a resolution, not another automated response.

Consider this my formal notice. Failure to address this swiftly will leave me no option but to escalate this matter legally.",2026-01-20 23:59:27
53,JIMMY SCHRADER,JIMMY.SCHRADER@yahoo.com,Question about recent charge - $0.99,"Hi,

I noticed a charge of $0.99 on my statement from MediaVault on August 1st. I believe this was for 'VOLCANO TEXAS'. Could you please confirm this charge and its purpose? I just want to make sure everything is correct.

Thanks,
Jimmy Schrader",2025-12-24 14:11:57
54,KARL SEAL,KARL.SEAL@aol.com,URGENT: RESOLVE THIS OR FACE LEGAL ACTION,"I am writing to express my extreme dissatisfaction with the continuous issues I've experienced with MediaVault service over the past few months. Despite being a loyal customer for years, spending nearly ten thousand dollars with your company, the recent decline in service quality and repeated billing errors is simply unacceptable.

The final straw was the incorrect charge of $9.98 for 'BOOGIE AMELIE' on my account today. I did not rent this film. This is not the first time. I have attempted to resolve these issues through your automated system and basic support, but to no avail. Your customer service has become a joke.

Consider this a formal notice. If these ongoing problems are not rectified immediately, including a full refund for all disputed charges and a clear explanation of how you intend to prevent future occurrences, I will have no choice but to consult my attorney regarding a claim for breach of contract and deceptive business practices. I expect a personal call from a senior manager within 24 hours. This is not a request; it's a demand.",2026-01-03 01:53:33
55,JORGE OLIVARES,JORGE.OLIVARES@outlook.com,Question about 'ANTHEM LUKE' rental period,"Hello MediaVault,

I rented ""ANTHEM LUKE"" from Store 2 on July 30th and returned it on August 8th. I was charged $8.99 for this rental, and I'm a little confused about the duration this covers. I thought it was a standard 7-day rental. Did I misunderstand the terms for this particular film, or was there an additional charge applied? Could you please clarify the billing for this rental?

Thank you for your assistance.
Jorge Olivares",2025-12-29 05:40:08
56,JOHNNY TURPIN,JOHNNY.TURPIN@icloud.com,Problem with film rental: WILLOW TRACY,"To whom it may concern,

I rented the film ""WILLOW TRACY"" from your Store 2 location on August 23rd, 2005. When I tried to watch it, the disc was heavily scratched and kept freezing or skipping at multiple points. It was impossible to enjoy the film.

I returned it on August 28th, and it was still in that condition. I'm quite disappointed as I was looking forward to seeing it. Is there a possibility of a refund or a credit for this rental? Thank you for your time.

Johnny Turpin",2026-02-21 13:21:33
57,JAVIER ELROD,JAVIER.ELROD@protonmail.com,Loved BLOOD ARGONAUTS! Thanks!,"Hey MediaVault Team,

Just wanted to send a quick note to say how much my family and I enjoyed renting 'BLOOD ARGONAUTS' last weekend. It was such a genuinely good family film, perfect for a movie night with the kids. We sometimes struggle to find movies that everyone agrees on, but this one was a real hit. It's great that you carry such wholesome options alongside the more intense stuff.

Keep up the great work with your selection! We'll definitely be back soon.",2026-01-05 22:23:18
58,MORRIS MCCARTER,MORRIS.MCCARTER@mail.com,Question about 'ISHTAR ROCKETEER' rental,"Hello,

I recently rented 'ISHTAR ROCKETEER' from your Store 2 location. I believe I picked it up on July 31st, 2005, and returned it on August 8th. I just noticed a charge on my statement that seems higher than the initial $8.99 rental fee. Could this be a late fee?

I thought the rental period was fairly generous, but perhaps I miscalculated. Can you please confirm the return date you have on file and explain any additional charges related to this rental?

Thank you for your time.

Morris McCarter",2026-02-19 14:19:33
59,RYAN SALISBURY,RYAN.SALISBURY@live.com,WHERE IS MONTEZUMA COMMAND,HELLO MEDIVAUILT I WENT TO YOUR STORE TODAY AND I COULDNT FIND MONTEZUMA COMMAND ANYWERE. IS IT IN OR NOT OR ARE YOU HIDING IT FROM ME. I NEED TO RENT IT TODAY OR I AM GOING SOMEWHERE ELSE. ANSWER ME NOW I DONT HAVE ALL DAY!!!!!!!!!!,2025-12-29 07:32:16
60,KATHLEEN ADAMS,KATHLEEN.ADAMS@example.com,Regarding service at Store 2,"I am writing to express my consistent dissatisfaction with the level of service I receive at your Store 2 branch. On multiple occasions, I have found the staff to be less than helpful, and sometimes outright dismissive. While I value the convenience of the location, the poor customer interaction makes me question my continued patronage. I believe a review of customer service standards at this particular store would be beneficial.",2026-02-21 01:45:48
61,WILLIE MARKHAM,WILLIE.MARKHAM@hotmail.com,More Horror Films Needed,"Hey, big fan of MediaVault but you guys really need to get more horror movies. It's a huge genre and your selection is kinda weak right now. Would rent a lot more if there were better options. Thanks.",2025-12-09 17:14:53
62,LUIS YANEZ,LUIS.YANEZ@gmail.com,Charge on my account,Hey why was I charged money yesterday?,2026-02-17 06:58:23
63,JOY GEORGE,JOY.GEORGE@yahoo.com,Disappointed with Selection at Store 2,"Hello,

I'm writing to offer some feedback regarding the film selection at your Store 2 branch. I'm a regular customer, but lately, I've found it increasingly difficult to find anything new or interesting to rent. It seems like the shelves are always stocked with the same older titles, and the new releases are either gone immediately or there aren't many to begin with.

I really enjoy renting from MediaVault, but the lack of variety is starting to make me consider other options. Perhaps you could look into updating the inventory more frequently or adding more copies of popular films?

Just a thought.

Best regards,
Joy George",2026-01-22 07:21:47
